date,horizon,predicted_price,confidence_low,confidence_high,algorithm_used,currency,last_updated,model_accuracy,data_points_used
2025-10-22,1D,1256.27,1130.64,1381.89,ensemble,INR,2025-10-21T02:27:04.713353,0.9942,1186
2025-10-22,1D,1256.27,1193.45,1319.08,linear_regression,INR,2025-10-21T02:27:04.713378,0.9942,1186
2025-10-28,1W,1257.54,1131.78,1383.29,ensemble,INR,2025-10-21T02:27:04.714076,0.9942,1186
2025-10-28,1W,1257.54,1194.66,1320.41,linear_regression,INR,2025-10-21T02:27:04.714098,0.9942,1186
2025-11-20,1M,1275.6,1148.04,1403.16,ensemble,INR,2025-10-21T02:27:04.714717,0.9942,1186
2025-11-20,1M,1275.6,1211.82,1339.38,linear_regression,INR,2025-10-21T02:27:04.714739,0.9942,1186
2026-10-21,1Y,3144.9,2830.41,3459.38,ensemble,INR,2025-10-21T02:27:04.715334,0.9942,1186
2026-10-21,1Y,3144.9,2987.65,3302.14,linear_regression,INR,2025-10-21T02:27:04.715354,0.9942,1186
2030-10-20,5Y,10658.3,9592.47,11724.13,ensemble,INR,2025-10-21T02:27:04.715906,0.9942,1186
2030-10-20,5Y,10658.3,10125.38,11191.21,linear_regression,INR,2025-10-21T02:27:04.715926,0.9942,1186
