date,horizon,predicted_price,confidence_low,confidence_high,algorithm_used,currency,last_updated,model_accuracy,data_points_used
2025-10-22,1D,162.62,146.36,178.88,ensemble,USD,2025-10-21T02:27:04.668188,0.7404,1207
2025-10-22,1D,162.62,154.49,170.75,linear_regression,USD,2025-10-21T02:27:04.668215,0.7404,1207
2025-10-28,1W,162.84,146.55,179.12,ensemble,USD,2025-10-21T02:27:04.669040,0.7404,1207
2025-10-28,1W,162.84,154.7,170.98,linear_regression,USD,2025-10-21T02:27:04.669063,0.7404,1207
2025-11-20,1M,164.24,147.82,180.67,ensemble,USD,2025-10-21T02:27:04.670103,0.7404,1207
2025-11-20,1M,164.24,156.03,172.46,linear_regression,USD,2025-10-21T02:27:04.670126,0.7404,1207
2026-10-21,1Y,261.73,235.56,287.9,ensemble,USD,2025-10-21T02:27:04.670766,0.7404,1207
2026-10-21,1Y,261.73,248.64,274.82,linear_regression,USD,2025-10-21T02:27:04.670787,0.7404,1207
2030-10-20,5Y,633.38,570.04,696.71,ensemble,USD,2025-10-21T02:27:04.671427,0.7404,1207
2030-10-20,5Y,633.38,601.71,665.04,linear_regression,USD,2025-10-21T02:27:04.671448,0.7404,1207
