date,open,high,low,close,volume,adjusted_close,currency
2020-01-02,86.43907460587472,86.65490428650573,84.48002078652593,84.78716278076172,713100,84.78716278076172,USD
2020-01-03,85.03620713942017,85.38485073998079,84.57964551972144,84.91168975830078,666400,84.91168975830078,USD
2020-01-06,85.09430494165112,86.14853847367608,84.75395789332735,86.0904312133789,1112300,86.0904312133789,USD
2020-01-07,85.54258281466366,86.06554827441673,84.19780634687575,84.87849426269531,791800,84.87849426269531,USD
2020-01-08,85.16072491653448,86.33117952503954,84.87018855977642,85.75010681152344,1009900,85.75010681152344,USD
2020-01-09,85.6587874308563,86.47228916282963,85.2188315077989,86.00743103027344,902900,86.00743103027344,USD
2020-01-10,85.96593378280937,86.9288615575835,85.67539741394403,86.64662170410156,697500,86.64662170410156,USD
2020-01-13,86.80434127314615,87.39371683986747,86.62171660930225,87.36051177978516,951900,87.36051177978516,USD
2020-01-14,87.23600080822247,87.41862548550726,86.33948945288871,86.6632308959961,1110000,86.6632308959961,USD
2020-01-15,86.83754703866533,87.5680393667575,86.71302964564954,86.7877426147461,816600,86.7877426147461,USD
2020-01-16,86.95376820447039,87.70916913526064,86.68813403464465,87.15299224853516,1624400,87.15299224853516,USD
2020-01-17,87.23598991009065,88.97091779433875,86.93715705112376,88.31513214111328,1083200,88.31513214111328,USD
2020-01-21,88.2985341346612,89.52708964742732,87.33560642656364,89.48558807373047,959500,89.48558807373047,USD
2020-01-22,89.50218497816272,90.19947852922137,88.81319427490234,88.81319427490234,664900,88.81319427490234,USD
2020-01-23,88.60567285054239,90.53982484712652,88.10760961677083,89.96704864501953,1149400,89.96704864501953,USD
2020-01-24,90.3986975521124,90.3986975521124,88.9128045391329,89.3776626586914,493500,89.3776626586914,USD
2020-01-27,89.12865240457413,89.7844381473157,88.77170589480892,88.97923278808594,667800,88.97923278808594,USD
2020-01-28,88.88791415934583,89.61010364359353,88.02460158440874,88.21552276611328,565300,88.21552276611328,USD
2020-01-29,88.1325271462914,88.40646418910337,87.26921443553832,87.31072235107422,478000,87.31072235107422,USD
2020-01-30,87.31069649289945,88.01628651550912,86.81263332007008,87.84196472167969,825600,87.84196472167969,USD
2020-01-31,87.75895820814816,87.95818221735551,85.96592312563075,86.00743103027344,2069700,86.00743103027344,USD
2020-02-03,86.24815620846525,86.97034556039802,86.07383442237055,86.47228240966797,560600,86.47228240966797,USD
2020-02-04,86.94544785839624,87.70084863716833,86.73792100706986,86.82093048095703,657600,86.82093048095703,USD
2020-02-05,86.85413294487789,89.2697484621637,86.80432852867544,89.15353393554688,900200,89.15353393554688,USD
2020-02-06,88.87962057205185,90.03346963060666,88.87131772274198,89.460693359375,483800,89.460693359375,USD
2020-02-07,89.36108064794296,90.11647523889604,88.99583129267617,89.84254455566406,514000,89.84254455566406,USD
2020-02-10,90.07496632358875,91.2869225099064,89.62670751496977,91.22051239013672,691400,91.22051239013672,USD
2020-02-11,91.31181160474756,91.99249940156336,90.78884623642382,91.52764129638672,790000,91.52764129638672,USD
2020-02-12,91.67706186834609,92.3577496725166,90.8137494256782,90.87185668945312,598400,90.87185668945312,USD
2020-02-13,90.93882740453265,90.93882740453265,89.87605012033134,90.14383697509766,858500,90.14383697509766,USD
2020-02-14,90.32791891455734,92.42836893458151,90.05176199438918,92.05179595947266,793600,92.05179595947266,USD
2020-02-18,91.75054175541398,92.3028556362622,90.96391521646328,91.4994888305664,747700,91.4994888305664,USD
2020-02-19,91.7170693445599,93.87610410863252,91.30702218510991,92.60411834716795,1267300,92.60411834716795,USD
2020-02-20,92.10200662282418,92.62084633151548,91.40743881295744,92.52042388916016,509900,92.52042388916016,USD
2020-02-21,92.37817040611208,93.10621880199854,92.15222787472182,92.77985382080078,471400,92.77985382080078,USD
2020-02-24,91.98484336389754,92.41163073105442,90.88022211943412,91.90116119384766,1067100,91.90116119384766,USD
2020-02-25,91.85932539977844,91.8927995477978,88.98898264866219,90.1689224243164,1292900,90.1689224243164,USD
