symbol,company_name,sector,market_cap,headquarters,exchange,isin
360ONE,360 ONE WAM,Financial Services,,India,NSE,INE466L01038
3MINDIA,3M India,Diversified,,India,NSE,INE470A01017
AADHARHFC,Aadhar Housing Finance,Financial Services,,India,NSE,INE883F01010
AARTIIND,Aarti Industries,Chemicals,,India,NSE,INE769A01020
AAVAS,Aavas Financiers,Financial Services,,India,NSE,INE216P01012
ABB,ABB India,Capital Goods,,India,NSE,INE117A01022
ABBOTINDIA,Abbott India,Healthcare,,India,NSE,INE358A01014
ABCAPITAL,Aditya Birla Capital,Financial Services,,India,NSE,INE674K01013
ABFRL,Aditya Birla Fashion and Retail,Consumer Services,,India,NSE,INE647O01011
ABLBL,Aditya Birla Lifestyle Brands,Consumer Services,,India,NSE,INE14LE01019
ABREL,Aditya Birla Real Estate,Forest Materials,,India,NSE,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC,Financial Services,,India,NSE,INE404A01024
ACC,ACC,Construction Materials,,India,NSE,INE012A01025
ACE,Action Construction Equipment,Capital Goods,,India,NSE,INE731H01025
ACMESOLAR,ACME Solar Holdings,Power,,India,NSE,INE622W01025
ADANIENSOL,Adani Energy Solutions,Power,,India,NSE,INE931S01010
ADANIENT,Adani Enterprises,Metals & Mining,,India,NSE,INE423A01024
ADANIGREEN,Adani Green Energy,Power,,India,NSE,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone,Services,,India,NSE,INE742F01042
ADANIPOWER,Adani Power,Power,,India,NSE,INE814H01011
AEGISLOG,Aegis Logistics,Oil Gas & Consumable Fuels,,India,NSE,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals,Oil Gas & Consumable Fuels,,India,NSE,INE0INX01018
AFCONS,Afcons Infrastructure,Construction,,India,NSE,INE101I01011
AFFLE,Affle 3i,Information Technology,,India,NSE,INE00WC01027
AGARWALEYE,Dr. Agarwal's Health Care,Healthcare,,India,NSE,INE943P01029
AIAENG,AIA Engineering,Capital Goods,,India,NSE,INE212H01026
AIIL,Authum Investment & Infrastructure,Financial Services,,India,NSE,INE206F01022
AJANTPHARM,Ajanta Pharmaceuticals,Healthcare,,India,NSE,INE031B01049
AKUMS,Akums Drugs and Pharmaceuticals,Healthcare,,India,NSE,INE09XN01023
AKZOINDIA,Akzo Nobel India,Consumer Durables,,India,NSE,INE133A01011
ALKEM,Alkem Laboratories,Healthcare,,India,NSE,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals,Chemicals,,India,NSE,INE150B01039
ALOKINDS,Alok Industries,Textiles,,India,NSE,INE270A01029
AMBER,Amber Enterprises India,Consumer Durables,,India,NSE,INE371P01015
AMBUJACEM,Ambuja Cements,Construction Materials,,India,NSE,INE079A01024
ANANDRATHI,Anand Rathi Wealth,Financial Services,,India,NSE,INE463V01026
ANANTRAJ,Anant Raj,Realty,,India,NSE,INE242C01024
ANGELONE,Angel One,Financial Services,,India,NSE,INE732I01013
APARINDS,Apar Industries,Capital Goods,,India,NSE,INE372A01015
APLAPOLLO,APL Apollo Tubes,Capital Goods,,India,NSE,INE702C01027
APLLTD,Alembic Pharmaceuticals,Healthcare,,India,NSE,INE901L01018
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare,,India,NSE,INE437A01024
APOLLOTYRE,Apollo Tyres,Automobile and Auto Components,,India,NSE,INE438A01022
APTUS,Aptus Value Housing Finance India,Financial Services,,India,NSE,INE852O01025
ARE&M,Amara Raja Energy & Mobility,Automobile and Auto Components,,India,NSE,INE885A01032
ASAHIINDIA,Asahi India Glass,Automobile and Auto Components,,India,NSE,INE439A01020
ASHOKLEY,Ashok Leyland,Capital Goods,,India,NSE,INE208A01029
ASIANPAINT,Asian Paints,Consumer Durables,,India,NSE,INE021A01026
ASTERDM,Aster DM Healthcare,Healthcare,,India,NSE,INE914M01019
ASTRAL,Astral,Capital Goods,,India,NSE,INE006I01046
ASTRAZEN,AstraZenca Pharma India,Healthcare,,India,NSE,INE203A01020
ATGL,Adani Total Gas,Oil Gas & Consumable Fuels,,India,NSE,INE399L01023
ATHERENERG,Ather Energy,Automobile and Auto Components,,India,NSE,INE0LEZ01016
ATUL,Atul,Chemicals,,India,NSE,INE100A01010
AUBANK,AU Small Finance Bank,Financial Services,,India,NSE,INE949L01017
AUROPHARMA,Aurobindo Pharma,Healthcare,,India,NSE,INE406A01037
AWL,AWL Agri Business,Fast Moving Consumer Goods,,India,NSE,INE699H01024
AXISBANK,Axis Bank,Financial Services,,India,NSE,INE238A01034
BAJAJ-AUTO,Bajaj Auto,Automobile and Auto Components,,India,NSE,INE917I01010
BAJAJFINSV,Bajaj Finserv,Financial Services,,India,NSE,INE918I01026
BAJAJHFL,Bajaj Housing Finance,Financial Services,,India,NSE,INE377Y01014
BAJAJHLDNG,Bajaj Holdings & Investment,Financial Services,,India,NSE,INE118A01012
BAJFINANCE,Bajaj Finance,Financial Services,,India,NSE,INE296A01024
BALKRISIND,Balkrishna Industries,Automobile and Auto Components,,India,NSE,INE787D01026
BALRAMCHIN,Balrampur Chini Mills,Fast Moving Consumer Goods,,India,NSE,INE119A01028
BANDHANBNK,Bandhan Bank,Financial Services,,India,NSE,INE545U01014
BANKBARODA,Bank of Baroda,Financial Services,,India,NSE,INE028A01039
BANKINDIA,Bank of India,Financial Services,,India,NSE,INE084A01016
BASF,BASF India,Chemicals,,India,NSE,INE373A01013
BATAINDIA,Bata India,Consumer Durables,,India,NSE,INE176A01028
